holiday,date,firstobs,firstproc
Europe Day,1985-05-09,1950,1950
Mother’s Day,1985-05-12,1907,1907
Armed Forces Day,1985-05-18,1936,1950
Victoria Day,1985-05-20,1837,1845
Memorial Day,1985-05-27,1868,1868
Australian Queen’s Birthday,1985-06-10,1953,1953
Father’s Day,1985-06-16,1910,1910
Summer Solstice,1985-06-21,-10000,-10000
St. Jean-Baptiste Day,1985-06-24,1638,1638
Canada Day,1985-07-01,1867,1867
Independence Day,1985-07-04,1776,1776
Utah Pioneer Day,1985-07-24,1847,1847
Canada Civic Day,1985-08-05,1970,1970
Canadian Labour Day,1985-09-02,1884,1884
American Labor Day,1985-09-02,1882,1882
Grandparents Day,1985-09-09,1978,1978
Autumnal Equinox,1985-09-23,-10000,-10000
Canadian Thanksgiving,1985-10-14,1700,1700
Columbus Day,1985-10-14,1905,1905
Creationism Day,1985-10-23,-4004,-4004
Daylight Saving Time End,1985-10-27,1916,1916
Halloween,1985-10-31,-2000,-2000
Remembrance Day,1985-11-11,1918,1931
Veterans Day,1985-11-11,1918,1938
American Thanksgiving,1985-11-28,1621,1621
Black Friday,1985-11-29,1960,1960
St. Andrews Day,1985-11-30,732,732
Human Rights Day,1985-12-10,1950,1950
Winter Solstice,1985-12-21,-10000,-10000
Christmas Eve,1985-12-24,1,1
Christmas in UK and Canada,1985-12-25,1,1
Christmas in the USA,1985-12-25,1,1
Boxing Day in UK and Canada,1985-12-26,1,1
New Year’s Eve,1985-12-31,-154,-154
New Year’s Day,1986-01-01,-153,-153
Martin Luther King Day,1986-01-20,1986,1986
Robbie Burns Day aka Burns Nicht,1986-01-25,1759,1759
Australia Day,1986-01-26,1804,1804
Groundhog Day,1986-02-02,1841,1841
Mardi Gras,1986-02-11,1583,1583
Ash Wednesday,1986-02-12,1583,1583
Valentine’s Day,1986-02-14,200,200
Presidents Day,1986-02-17,1971,1971
Alberta Family Day,1986-02-17,1900,1900
Commonwealth Day,1986-03-10,1976,1976
St. Patrick’s day,1986-03-17,400,400
Vernal Equinox,1986-03-20,-10000,-10000
Palm Sunday,1986-03-23,1583,1583
Good Friday,1986-03-28,1583,1583
Easter Sunday,1986-03-30,30,30
Easter Monday,1986-03-31,1583,1583
April Fools’ Day,1986-04-01,1564,1564
Earth Day,1986-04-22,1970,1970
ANZAC Day,1986-04-25,1915,1915
Daylight Saving Time Start,1986-04-27,1916,1916
Cinco de Mayo,1986-05-05,1809,1809
Europe Day,1986-05-09,1950,1950
Mother’s Day,1986-05-11,1907,1907
Armed Forces Day,1986-05-17,1936,1950
Victoria Day,1986-05-19,1837,1845
Memorial Day,1986-05-26,1868,1868
Australian Queen’s Birthday,1986-06-09,1953,1953
Father’s Day,1986-06-15,1910,1910
Summer Solstice,1986-06-21,-10000,-10000
St. Jean-Baptiste Day,1986-06-24,1638,1638
Canada Day,1986-07-01,1867,1867
Independence Day,1986-07-04,1776,1776
Utah Pioneer Day,1986-07-24,1847,1847
Canada Civic Day,1986-08-04,1970,1970
Canadian Labour Day,1986-09-01,1884,1884
American Labor Day,1986-09-01,1882,1882
Grandparents Day,1986-09-08,1978,1978
Autumnal Equinox,1986-09-23,-10000,-10000
Canadian Thanksgiving,1986-10-13,1700,1700
Columbus Day,1986-10-13,1905,1905
Creationism Day,1986-10-23,-4004,-4004
Daylight Saving Time End,1986-10-26,1916,1916
Halloween,1986-10-31,-2000,-2000
General Election Day,1986-11-04,1789,1789
Remembrance Day,1986-11-11,1918,1931
Veterans Day,1986-11-11,1918,1938
American Thanksgiving,1986-11-27,1621,1621
Black Friday,1986-11-28,1960,1960
St. Andrews Day,1986-11-30,732,732
Human Rights Day,1986-12-10,1950,1950
Winter Solstice,1986-12-22,-10000,-10000
Christmas Eve,1986-12-24,1,1
Christmas in UK and Canada,1986-12-25,1,1
Christmas in the USA,1986-12-25,1,1
Boxing Day in UK and Canada,1986-12-26,1,1
New Year’s Eve,1986-12-31,-154,-154
New Year’s Day,1987-01-01,-153,-153
US Congressional Start Day,1987-01-03,1789,1789
Martin Luther King Day,1987-01-19,1986,1986
Robbie Burns Day aka Burns Nicht,1987-01-25,1759,1759
Australia Day,1987-01-26,1804,1804
Groundhog Day,1987-02-02,1841,1841
Valentine’s Day,1987-02-14,200,200
Presidents Day,1987-02-16,1971,1971
Alberta Family Day,1987-02-16,1900,1900
Mardi Gras,1987-03-03,1583,1583
Ash Wednesday,1987-03-04,1583,1583
Commonwealth Day,1987-03-09,1976,1976
St. Patrick’s day,1987-03-17,400,400
Vernal Equinox,1987-03-21,-10000,-10000
April Fools’ Day,1987-04-01,1564,1564
Daylight Saving Time Start,1987-04-05,1916,1916
Palm Sunday,1987-04-12,1583,1583
Good Friday,1987-04-17,1583,1583
Easter Sunday,1987-04-19,30,30
Easter Monday,1987-04-20,1583,1583
Earth Day,1987-04-22,1970,1970
ANZAC Day,1987-04-25,1915,1915
Cinco de Mayo,1987-05-05,1809,1809
Europe Day,1987-05-09,1950,1950
Mother’s Day,1987-05-10,1907,1907
Armed Forces Day,1987-05-16,1936,1950
Victoria Day,1987-05-18,1837,1845
Memorial Day,1987-05-25,1868,1868
Australian Queen’s Birthday,1987-06-08,1953,1953
Father’s Day,1987-06-21,1910,1910
Summer Solstice,1987-06-21,-10000,-10000
St. Jean-Baptiste Day,1987-06-24,1638,1638
Canada Day,1987-07-01,1867,1867
Independence Day,1987-07-04,1776,1776
Utah Pioneer Day,1987-07-24,1847,1847
Canada Civic Day,1987-08-03,1970,1970
Canadian Labour Day,1987-09-07,1884,1884
American Labor Day,1987-09-07,1882,1882
Grandparents Day,1987-09-14,1978,1978
Autumnal Equinox,1987-09-23,-10000,-10000
Canadian Thanksgiving,1987-10-12,1700,1700
Columbus Day,1987-10-12,1905,1905
Creationism Day,1987-10-23,-4004,-4004
Daylight Saving Time End,1987-10-25,1916,1916
Halloween,1987-10-31,-2000,-2000
Remembrance Day,1987-11-11,1918,1931
Veterans Day,1987-11-11,1918,1938
American Thanksgiving,1987-11-26,1621,1621
Black Friday,1987-11-27,1960,1960
St. Andrews Day,1987-11-30,732,732
Human Rights Day,1987-12-10,1950,1950
Winter Solstice,1987-12-22,-10000,-10000
Christmas Eve,1987-12-24,1,1
Christmas in UK and Canada,1987-12-25,1,1
Christmas in the USA,1987-12-25,1,1
Boxing Day in UK and Canada,1987-12-26,1,1
New Year’s Eve,1987-12-31,-154,-154
New Year’s Day,1988-01-01,-153,-153
Martin Luther King Day,1988-01-18,1986,1986
Robbie Burns Day aka Burns Nicht,1988-01-25,1759,1759
Australia Day,1988-01-26,1804,1804
Groundhog Day,1988-02-02,1841,1841
Valentine’s Day,1988-02-14,200,200
Presidents Day,1988-02-15,1971,1971
Alberta Family Day,1988-02-15,1900,1900
Mardi Gras,1988-02-16,1583,1583
Ash Wednesday,1988-02-17,1583,1583
Commonwealth Day,1988-03-14,1976,1976
St. Patrick’s day,1988-03-17,400,400
Vernal Equinox,1988-03-20,-10000,-10000
Palm Sunday,1988-03-27,1583,1583
Good Friday,1988-04-01,1583,1583
April Fools’ Day,1988-04-01,1564,1564
Daylight Saving Time Start,1988-04-03,1916,1916
Easter Sunday,1988-04-03,30,30
Easter Monday,1988-04-04,1583,1583
Earth Day,1988-04-22,1970,1970
ANZAC Day,1988-04-25,1915,1915
Cinco de Mayo,1988-05-05,1809,1809
Mother’s Day,1988-05-08,1907,1907
Europe Day,1988-05-09,1950,1950
Armed Forces Day,1988-05-21,1936,1950
Victoria Day,1988-05-23,1837,1845
Memorial Day,1988-05-30,1868,1868
Australian Queen’s Birthday,1988-06-13,1953,1953
Father’s Day,1988-06-19,1910,1910
Summer Solstice,1988-06-21,-10000,-10000
St. Jean-Baptiste Day,1988-06-24,1638,1638
Canada Day,1988-07-01,1867,1867
Independence Day,1988-07-04,1776,1776
Utah Pioneer Day,1988-07-24,1847,1847
Canada Civic Day,1988-08-01,1970,1970
Canadian Labour Day,1988-09-05,1884,1884
American Labor Day,1988-09-05,1882,1882
Grandparents Day,1988-09-12,1978,1978
Autumnal Equinox,1988-09-22,-10000,-10000
Canadian Thanksgiving,1988-10-10,1700,1700
Columbus Day,1988-10-10,1905,1905
Creationism Day,1988-10-23,-4004,-4004
Daylight Saving Time End,1988-10-30,1916,1916
Halloween,1988-10-31,-2000,-2000
General Election Day,1988-11-08,1789,1789
Remembrance Day,1988-11-11,1918,1931
Veterans Day,1988-11-11,1918,1938
American Thanksgiving,1988-11-24,1621,1621
Black Friday,1988-11-25,1960,1960
St. Andrews Day,1988-11-30,732,732
World AIDS Day,1988-12-01,1988,1988
Human Rights Day,1988-12-10,1950,1950
Winter Solstice,1988-12-21,-10000,-10000
Christmas Eve,1988-12-24,1,1
Christmas in UK and Canada,1988-12-25,1,1
Christmas in the USA,1988-12-25,1,1
Boxing Day in UK and Canada,1988-12-26,1,1
New Year’s Eve,1988-12-31,-154,-154
New Year’s Day,1989-01-01,-153,-153
US Congressional Start Day,1989-01-03,1789,1789
Martin Luther King Day,1989-01-16,1986,1986
US Presidential Inauguration Day,1989-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,1989-01-25,1759,1759
Australia Day,1989-01-26,1804,1804
Groundhog Day,1989-02-02,1841,1841
Mardi Gras,1989-02-07,1583,1583
Ash Wednesday,1989-02-08,1583,1583
Valentine’s Day,1989-02-14,200,200
Presidents Day,1989-02-20,1971,1971
Alberta Family Day,1989-02-20,1900,1900
Commonwealth Day,1989-03-13,1976,1976
St. Patrick’s day,1989-03-17,400,400
Palm Sunday,1989-03-19,1583,1583
Vernal Equinox,1989-03-20,-10000,-10000
Good Friday,1989-03-24,1583,1583
Easter Sunday,1989-03-26,30,30
Easter Monday,1989-03-27,1583,1583
April Fools’ Day,1989-04-01,1564,1564
Daylight Saving Time Start,1989-04-02,1916,1916
Earth Day,1989-04-22,1970,1970
ANZAC Day,1989-04-25,1915,1915
Cinco de Mayo,1989-05-05,1809,1809
Europe Day,1989-05-09,1950,1950
Mother’s Day,1989-05-14,1907,1907
Armed Forces Day,1989-05-20,1936,1950
Victoria Day,1989-05-22,1837,1845
Memorial Day,1989-05-29,1868,1868
Australian Queen’s Birthday,1989-06-12,1953,1953
Father’s Day,1989-06-18,1910,1910
Summer Solstice,1989-06-21,-10000,-10000
St. Jean-Baptiste Day,1989-06-24,1638,1638
Canada Day,1989-07-01,1867,1867
Independence Day,1989-07-04,1776,1776
Utah Pioneer Day,1989-07-24,1847,1847
Canada Civic Day,1989-08-07,1970,1970
Canadian Labour Day,1989-09-04,1884,1884
American Labor Day,1989-09-04,1882,1882
Grandparents Day,1989-09-11,1978,1978
Autumnal Equinox,1989-09-23,-10000,-10000
Canadian Thanksgiving,1989-10-09,1700,1700
Columbus Day,1989-10-09,1905,1905
Creationism Day,1989-10-23,-4004,-4004
Daylight Saving Time End,1989-10-29,1916,1916
Halloween,1989-10-31,-2000,-2000
Remembrance Day,1989-11-11,1918,1931
Veterans Day,1989-11-11,1918,1938
American Thanksgiving,1989-11-23,1621,1621
Black Friday,1989-11-24,1960,1960
St. Andrews Day,1989-11-30,732,732
World AIDS Day,1989-12-01,1988,1988
Human Rights Day,1989-12-10,1950,1950
Winter Solstice,1989-12-21,-10000,-10000
Christmas Eve,1989-12-24,1,1
Christmas in UK and Canada,1989-12-25,1,1
Christmas in the USA,1989-12-25,1,1
Boxing Day in UK and Canada,1989-12-26,1,1
New Year’s Eve,1989-12-31,-154,-154
New Year’s Day,1990-01-01,-153,-153
Martin Luther King Day,1990-01-15,1986,1986
Robbie Burns Day aka Burns Nicht,1990-01-25,1759,1759
Australia Day,1990-01-26,1804,1804
Groundhog Day,1990-02-02,1841,1841
Valentine’s Day,1990-02-14,200,200
Presidents Day,1990-02-19,1971,1971
Alberta Family Day,1990-02-19,1900,1900
Mardi Gras,1990-02-27,1583,1583
Ash Wednesday,1990-02-28,1583,1583
Commonwealth Day,1990-03-12,1976,1976
St. Patrick’s day,1990-03-17,400,400
Vernal Equinox,1990-03-20,-10000,-10000
Daylight Saving Time Start,1990-04-01,1916,1916
April Fools’ Day,1990-04-01,1564,1564
Palm Sunday,1990-04-08,1583,1583
Good Friday,1990-04-13,1583,1583
Easter Sunday,1990-04-15,30,30
Easter Monday,1990-04-16,1583,1583
Earth Day,1990-04-22,1970,1970
ANZAC Day,1990-04-25,1915,1915
Cinco de Mayo,1990-05-05,1809,1809
Europe Day,1990-05-09,1950,1950
Mother’s Day,1990-05-13,1907,1907
Armed Forces Day,1990-05-19,1936,1950
Victoria Day,1990-05-21,1837,1845
Memorial Day,1990-05-28,1868,1868
Australian Queen’s Birthday,1990-06-11,1953,1953
Father’s Day,1990-06-17,1910,1910
Summer Solstice,1990-06-21,-10000,-10000
Aboriginal Day,1990-06-21,1990,1990
St. Jean-Baptiste Day,1990-06-24,1638,1638
Canada Day,1990-07-02,1867,1867
Independence Day,1990-07-04,1776,1776
Utah Pioneer Day,1990-07-24,1847,1847
Canada Civic Day,1990-08-06,1970,1970
Canadian Labour Day,1990-09-03,1884,1884
American Labor Day,1990-09-03,1882,1882
Grandparents Day,1990-09-10,1978,1978
Autumnal Equinox,1990-09-23,-10000,-10000
Canadian Thanksgiving,1990-10-08,1700,1700
Columbus Day,1990-10-08,1905,1905
Creationism Day,1990-10-23,-4004,-4004
Daylight Saving Time End,1990-10-28,1916,1916
Halloween,1990-10-31,-2000,-2000
General Election Day,1990-11-06,1789,1789
Remembrance Day,1990-11-11,1918,1931
Veterans Day,1990-11-11,1918,1938
American Thanksgiving,1990-11-22,1621,1621
Black Friday,1990-11-23,1960,1960
St. Andrews Day,1990-11-30,732,732
World AIDS Day,1990-12-01,1988,1988
Human Rights Day,1990-12-10,1950,1950
Winter Solstice,1990-12-22,-10000,-10000
Christmas Eve,1990-12-24,1,1
Christmas in UK and Canada,1990-12-25,1,1
Christmas in the USA,1990-12-25,1,1
Boxing Day in UK and Canada,1990-12-26,1,1
New Year’s Eve,1990-12-31,-154,-154
New Year’s Day,1991-01-01,-153,-153
US Congressional Start Day,1991-01-03,1789,1789
Martin Luther King Day,1991-01-21,1986,1986
Robbie Burns Day aka Burns Nicht,1991-01-25,1759,1759
Australia Day,1991-01-26,1804,1804
Groundhog Day,1991-02-02,1841,1841
Mardi Gras,1991-02-12,1583,1583
Ash Wednesday,1991-02-13,1583,1583
Valentine’s Day,1991-02-14,200,200
Presidents Day,1991-02-18,1971,1971
Alberta Family Day,1991-02-18,1900,1900
Commonwealth Day,1991-03-11,1976,1976
St. Patrick’s day,1991-03-17,400,400
Vernal Equinox,1991-03-21,-10000,-10000
Palm Sunday,1991-03-24,1583,1583
Good Friday,1991-03-29,1583,1583
Easter Sunday,1991-03-31,30,30
April Fools’ Day,1991-04-01,1564,1564
Easter Monday,1991-04-01,1583,1583
Daylight Saving Time Start,1991-04-07,1916,1916
Earth Day,1991-04-22,1970,1970
ANZAC Day,1991-04-25,1915,1915
Cinco de Mayo,1991-05-05,1809,1809
Europe Day,1991-05-09,1950,1950
Mother’s Day,1991-05-12,1907,1907
Armed Forces Day,1991-05-18,1936,1950
Victoria Day,1991-05-20,1837,1845
Memorial Day,1991-05-27,1868,1868
Australian Queen’s Birthday,1991-06-10,1953,1953
Father’s Day,1991-06-16,1910,1910
Summer Solstice,1991-06-21,-10000,-10000
Aboriginal Day,1991-06-21,1990,1990
St. Jean-Baptiste Day,1991-06-24,1638,1638
Canada Day,1991-07-01,1867,1867
Independence Day,1991-07-04,1776,1776
Utah Pioneer Day,1991-07-24,1847,1847
Canada Civic Day,1991-08-05,1970,1970
Canadian Labour Day,1991-09-02,1884,1884
American Labor Day,1991-09-02,1882,1882
Grandparents Day,1991-09-09,1978,1978
Autumnal Equinox,1991-09-23,-10000,-10000
Canadian Thanksgiving,1991-10-14,1700,1700
Columbus Day,1991-10-14,1905,1905
Creationism Day,1991-10-23,-4004,-4004
Daylight Saving Time End,1991-10-27,1916,1916
Halloween,1991-10-31,-2000,-2000
Remembrance Day,1991-11-11,1918,1931
Veterans Day,1991-11-11,1918,1938
American Thanksgiving,1991-11-28,1621,1621
Black Friday,1991-11-29,1960,1960
St. Andrews Day,1991-11-30,732,732
World AIDS Day,1991-12-01,1988,1988
Human Rights Day,1991-12-10,1950,1950
Winter Solstice,1991-12-22,-10000,-10000
Christmas Eve,1991-12-24,1,1
Christmas in UK and Canada,1991-12-25,1,1
Christmas in the USA,1991-12-25,1,1
Boxing Day in UK and Canada,1991-12-26,1,1
New Year’s Eve,1991-12-31,-154,-154
New Year’s Day,1992-01-01,-153,-153
Martin Luther King Day,1992-01-20,1986,1986
Robbie Burns Day aka Burns Nicht,1992-01-25,1759,1759
Australia Day,1992-01-26,1804,1804
Groundhog Day,1992-02-02,1841,1841
Valentine’s Day,1992-02-14,200,200
Presidents Day,1992-02-17,1971,1971
Alberta Family Day,1992-02-17,1900,1900
Mardi Gras,1992-03-03,1583,1583
Ash Wednesday,1992-03-04,1583,1583
Commonwealth Day,1992-03-09,1976,1976
St. Patrick’s day,1992-03-17,400,400
Vernal Equinox,1992-03-20,-10000,-10000
April Fools’ Day,1992-04-01,1564,1564
Daylight Saving Time Start,1992-04-05,1916,1916
Palm Sunday,1992-04-12,1583,1583
Good Friday,1992-04-17,1583,1583
Easter Sunday,1992-04-19,30,30
Easter Monday,1992-04-20,1583,1583
Earth Day,1992-04-22,1970,1970
ANZAC Day,1992-04-25,1915,1915
Cinco de Mayo,1992-05-05,1809,1809
Europe Day,1992-05-09,1950,1950
Mother’s Day,1992-05-10,1907,1907
Armed Forces Day,1992-05-16,1936,1950
Victoria Day,1992-05-18,1837,1845
Memorial Day,1992-05-25,1868,1868
Australian Queen’s Birthday,1992-06-08,1953,1953
Father’s Day,1992-06-21,1910,1910
Summer Solstice,1992-06-21,-10000,-10000
Aboriginal Day,1992-06-21,1990,1990
St. Jean-Baptiste Day,1992-06-24,1638,1638
Canada Day,1992-07-01,1867,1867
Independence Day,1992-07-04,1776,1776
Utah Pioneer Day,1992-07-24,1847,1847
Canada Civic Day,1992-08-03,1970,1970
Canadian Labour Day,1992-09-07,1884,1884
American Labor Day,1992-09-07,1882,1882
Grandparents Day,1992-09-14,1978,1978
Autumnal Equinox,1992-09-22,-10000,-10000
Canadian Thanksgiving,1992-10-12,1700,1700
Columbus Day,1992-10-12,1905,1905
Creationism Day,1992-10-23,-4004,-4004
Daylight Saving Time End,1992-10-25,1916,1916
Halloween,1992-10-31,-2000,-2000
General Election Day,1992-11-03,1789,1789
Remembrance Day,1992-11-11,1918,1931
Veterans Day,1992-11-11,1918,1938
American Thanksgiving,1992-11-26,1621,1621
Black Friday,1992-11-27,1960,1960
St. Andrews Day,1992-11-30,732,732
World AIDS Day,1992-12-01,1988,1988
Human Rights Day,1992-12-10,1950,1950
Winter Solstice,1992-12-21,-10000,-10000
Christmas Eve,1992-12-24,1,1
Christmas in UK and Canada,1992-12-25,1,1
Christmas in the USA,1992-12-25,1,1
Boxing Day in UK and Canada,1992-12-26,1,1
New Year’s Eve,1992-12-31,-154,-154
New Year’s Day,1993-01-01,-153,-153
US Congressional Start Day,1993-01-03,1789,1789
Martin Luther King Day,1993-01-18,1986,1986
US Presidential Inauguration Day,1993-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,1993-01-25,1759,1759
Australia Day,1993-01-26,1804,1804
Groundhog Day,1993-02-02,1841,1841
Valentine’s Day,1993-02-14,200,200
Presidents Day,1993-02-15,1971,1971
Alberta Family Day,1993-02-15,1900,1900
Mardi Gras,1993-02-23,1583,1583
Ash Wednesday,1993-02-24,1583,1583
Commonwealth Day,1993-03-08,1976,1976
St. Patrick’s day,1993-03-17,400,400
Vernal Equinox,1993-03-20,-10000,-10000
April Fools’ Day,1993-04-01,1564,1564
Daylight Saving Time Start,1993-04-04,1916,1916
Palm Sunday,1993-04-04,1583,1583
Good Friday,1993-04-09,1583,1583
Easter Sunday,1993-04-11,30,30
Easter Monday,1993-04-12,1583,1583
Earth Day,1993-04-22,1970,1970
ANZAC Day,1993-04-25,1915,1915
Cinco de Mayo,1993-05-05,1809,1809
Europe Day,1993-05-09,1950,1950
Mother’s Day,1993-05-09,1907,1907
Armed Forces Day,1993-05-15,1936,1950
Victoria Day,1993-05-24,1837,1845
Memorial Day,1993-05-31,1868,1868
Australian Queen’s Birthday,1993-06-14,1953,1953
Father’s Day,1993-06-20,1910,1910
Summer Solstice,1993-06-21,-10000,-10000
Aboriginal Day,1993-06-21,1990,1990
St. Jean-Baptiste Day,1993-06-24,1638,1638
Canada Day,1993-07-01,1867,1867
Independence Day,1993-07-04,1776,1776
Utah Pioneer Day,1993-07-24,1847,1847
Canada Civic Day,1993-08-02,1970,1970
Canadian Labour Day,1993-09-06,1884,1884
American Labor Day,1993-09-06,1882,1882
Grandparents Day,1993-09-13,1978,1978
Autumnal Equinox,1993-09-23,-10000,-10000
Canadian Thanksgiving,1993-10-11,1700,1700
Columbus Day,1993-10-11,1905,1905
Creationism Day,1993-10-23,-4004,-4004
Halloween,1993-10-31,-2000,-2000
Daylight Saving Time End,1993-10-31,1916,1916
Remembrance Day,1993-11-11,1918,1931
Veterans Day,1993-11-11,1918,1938
American Thanksgiving,1993-11-25,1621,1621
Black Friday,1993-11-26,1960,1960
St. Andrews Day,1993-11-30,732,732
World AIDS Day,1993-12-01,1988,1988
Human Rights Day,1993-12-10,1950,1950
Winter Solstice,1993-12-21,-10000,-10000
Christmas Eve,1993-12-24,1,1
Christmas in UK and Canada,1993-12-25,1,1
Christmas in the USA,1993-12-25,1,1
Boxing Day in UK and Canada,1993-12-26,1,1
New Year’s Eve,1993-12-31,-154,-154
New Year’s Day,1994-01-01,-153,-153
Martin Luther King Day,1994-01-17,1986,1986
Robbie Burns Day aka Burns Nicht,1994-01-25,1759,1759
Australia Day,1994-01-26,1804,1804
Groundhog Day,1994-02-02,1841,1841
Valentine’s Day,1994-02-14,200,200
Mardi Gras,1994-02-15,1583,1583
Ash Wednesday,1994-02-16,1583,1583
Presidents Day,1994-02-21,1971,1971
Alberta Family Day,1994-02-21,1900,1900
